;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Программы начального общего образования (1–4 классы);Программы основного общего образования (5–9 классы);Программы среднего общего образования (10–11(12) классы)
1;Численность обучающихся, углубленно изучающих предметы (не менее одного);;3;1427
2;В том числе по профилям обучения:       гуманитарный – всего;;;3
3;из них с изучением языков:             английского;;;2
4;французского;;;
5;немецкого;;;
6;других европейских;;;
7;восточных;;;
8;естественнонаучный;;;29
9;социально-экономический;;3;6
10;технологический;;;
11;технический;;;4
12;сельскохозяйственный;;;
13;математический;;;
14;другие;;;1317
