;;;
;;;
;;;
;;;
;;;
1;2;3;4
№ строки;Профили обучения;Число 10–11(12) классов (групп) профильного обучения, ед.;Численность обучающихся в 10–11 (12) классах (группах) профильного обучения, чел.
1;Всего (сумма строк 02, 07–16);56952;890143
2;Технологический –  всего (сумма строк 03–06);7685;127960
3;в том числе:       информационно-технологический;3328;54793
4;агротехнологический;447;4192
5;индустриально-технологический;67;1073
6;другие технологические;3843;67902
7;Физико-математический;3766;63542
8;Физико-химический;440;6677
9;Химико-биологический;5255;68691
10;Биолого-географический;110;1104
11;Социально-экономический;7896;140611
12;Социально-гуманитарный;4686;78026
13;Филологический;1249;23157
14;Художественно-эстетический;120;2371
15;Оборонно-спортивный;323;5511
16;Другие;25422;372493
