;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Численность экстернов за период с  20 сентября прошлого года по 19 сентября текущего года, получивших аттестат об основном общем образовании;Численность экстернов за период с  20 сентября прошлого года по 19 сентября текущего года, получивших аттестат о среднем общем образовании;Численность экстернов за период с  20 сентября прошлого года по 19 сентября текущего года, получивших свидетельство об обучении
1;Всего;2591;1371;172
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;
3;6 лет;;;
4;7 лет;;;
5;8 лет;;;
6;9 лет;;;1
7;10 лет;;;1
8;11 лет;;;
9;12 лет;;;
10;13 лет;4;;2
11;14 лет;23;;1
12;15 лет;412;11;16
13;16 лет;993;91;37
14;17 лет;756;546;58
15;18 лет;279;537;45
16;19 лет;81;79;6
17;20 лет;28;47;2
18;21 год;5;12;2
19;22 года;5;13;
20;23 года;;4;
21;24 года;1;3;
22;25 лет;;1;
23;26 лет;;4;
24;27 лет;;4;
25;28 лет;1;1;
26;29 лет;1;1;
27;30–34 года;1;4;
28;35–39 лет;1;10;1
29;40 лет и старше;;3;
