;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 40, 41);2144277;1342188;1198588;390;7648;72;762;423333;194000;166435;413841;430472;1800671;
2;в том числе:       руководящие работники – всего;143559;134622;113331;62;1831;24;180;7009;2025;809;25636;18024;120949;
3;из них:             директор;38519;37848;35835;35;872;17;92;340;307;2;8435;5820;29210;
4;заместители директора;95514;88160;71909;14;861;4;75;4997;1398;638;15928;10959;82869;
5;руководитель филиала;1932;1731;1527;;9;;;160;103;7;275;398;1613;
6;педагогические работники – всего (сумма строк 07, 28, 29, 33-39);1325205;1113712;1064865;317;5676;44;561;198662;181285;2491;387354;410619;1179299;1087736.44
7;в том числе:             учителя – всего (сумма строк 08-18, 22-27);1070347;930264;901136;169;4820;36;459;132862;124607;1128;344024;344160;945393;865450.22
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;317426;238003;234493;14;206;2;11;77236;75810;237;99867;107401;315431;274577.38
9;русского языка и литературы;125421;121401;120054;29;893;8;46;3542;3337;24;47668;39097;122739;
10;языка народов России и литературы;15877;14538;14450;5;51;;6;1274;1234;1;5274;5034;15135;
11;истории, экономики, права, обществознания;65682;63850;62062;24;822;8;78;1524;1306;21;22918;19975;52698;
12;информатики и ИКТ;27665;26076;23731;4;209;;28;1431;1105;23;9167;8698;19834;
13;физики;31574;30989;29614;14;356;2;49;415;328;12;11213;9784;23976;
14;математики;97396;94829;92189;28;421;5;61;2130;1930;23;32638;32469;90932;
15;химии;23481;23167;22290;8;324;4;33;225;165;7;9588;6725;21823;
16;географии;30643;29663;28873;6;144;2;14;865;777;8;11187;9957;27036;
17;биологии;31674;30927;30049;9;316;1;23;617;528;8;12522;9458;29721;
18;иностранных языков;120230;115091;111743;11;682;;53;4566;4259;48;29988;39349;115061;
19;из них:                         английского языка;103121;98204;94634;9;528;;32;3635;3377;44;24560;32972;98514;
20;немецкого языка;12810;11910;11586;;71;;10;729;669;3;3323;4356;12320;
21;французского языка;3322;3258;3201;;35;;4;32;26;1;1309;795;3203;
22;физической культуры;77905;62198;59784;5;92;2;11;14933;13968;142;22663;25153;34730;
23;трудового обучения (технологии);42885;32094;28661;2;76;1;7;9927;7526;411;11686;13799;27275;
24;музыки и пения;20130;13283;12361;5;56;;5;6591;5828;54;6545;5797;18544;
25;изобразительного искусства, черчения;15486;11693;10717;1;36;;2;3620;3144;33;5042;4453;14411;
26;основ безопасности жизнедеятельности;12090;10389;8856;2;49;;6;1529;1235;48;3078;3529;2987;
27;прочих предметов;14782;12073;11209;2;87;1;26;2437;2127;28;2980;3482;13060;
28;учителя-логопеды;16081;15685;15076;14;46;;6;343;300;4;4843;4382;16001;13981.48
29;учителя-дефектологи;5478;5268;5027;13;22;;3;191;171;2;1325;1275;5392;4959.74
30;из них:                   олигофренопедагог;1396;1304;1255;1;2;;;68;62;1;290;356;1355;1237.4
31;тифлопедагог;175;172;155;;;;;2;1;;67;35;171;183.1
32;сурдопедагог;483;483;472;;5;;;;;;255;74;481;423.4
33;социальные педагоги;18803;15652;13803;13;35;;2;2861;2320;55;2512;4433;17924;14411.18
34;педагоги дополнительного образования;23127;17138;13432;8;116;3;22;5200;3578;179;4370;3902;16462;19178.82
35;педагоги-психологи;27332;26448;24624;8;247;1;23;691;587;14;5624;6415;26232;21400.66
36;воспитатели;111395;65007;59887;77;59;;10;43949;40339;645;17369;35914;107302;94042.4
37;мастера производственного обучения;968;454;309;;;;;377;162;79;79;163;288;822.9
38;тьюторы;5292;4346;3953;4;25;;2;841;723;13;298;444;4835;4483.21
39;другие;46382;33450;27618;11;306;4;34;11347;8498;372;6910;9531;39470;38248.44
40;учебно-вспомогательный персонал;135270;48941;13342;2;71;;7;49539;6465;16808;534;1328;119330;
41;иной персонал;540243;44913;7050;9;70;4;14;168123;4225;146327;317;501;381093;
42;из них:             ассистент (помощник);884;190;73;;;;;341;101;117;;7;801;861.2
43;сурдопереводчик;9;3;1;;;;;1;;1;1;1;9;150
44;тифлосурдопереводчик;;;;;;;;;;;;;;59.5
45;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;48597;22898;20967;;7;;1;22699;21036;288;6664;13545;48260;
46;из них воспитатели;41445;17879;16221;;3;;;20675;19152;268;4899;11863;41307;
47;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;5434;5093;4804;;29;;2;182;147;1;1455;1639;4571;
48;из них учителя;5024;4703;4436;;23;;2;150;125;1;1356;1490;4210;
49;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;55188;44533;42373;1;96;;8;7021;6253;91;12732;15999;42326;
50;из них учителя - всего;39789;32699;31151;1;61;;5;4531;4078;43;9750;11971;29456;
51;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;10404;7792;7401;;8;;1;1732;1647;3;2273;2994;8136;
52;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;73421;59311;56081;2;99;2;14;8136;7433;48;17844;20637;55161;
53;Из общей численности учителей-дефектологов (строка 29 графа 3) - учителя, имеющие специальное дефектологическое образование;3407;3115;;;;;;;;;;;;
54;Справочно. Код по ОКЕИ: человек – 792 Численность руководителей (из строки 02), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;98740;;;;;;;;;;;;;
55;из них директор;30481;;;;;;;;;;;;;
56;Численность педагогических работников (из строки 06), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;1020645;;;;;;;;;;;;;
57;из них учителя;782236;;;;;;;;;;;;;
58;Кроме того (кроме строки 01), численность медицинских работников (сумма строк 60,61);9390;;;;;;;;;;;;;
59;из них женщин;8679;;;;;;;;;;;;;
60;в том числе:          врачи всех специальностей;1738;;;;;;;;;;;;;
61;медицинские сестры;7652;;;;;;;;;;;;;
62;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;892798;;;;;;;;;;;;;
63;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;727634;;;;;;;;;;;;;
64;в том числе:       осуществляющих классное руководство в одном классе;686558;;;;;;;;;;;;;
65;осуществляющих классное руководство в двух и более классах;41076;;;;;;;;;;;;;
