;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53
№ строки;Наименование показателя;Всего (сумма граф 4-47);Программы начального общего образования с нормативным сроком обучения 4 года 1-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 2-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 3-й класс;Программы начального общего образования с нормативным сроком обучения 4 года 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 1-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 2-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 3-й класс второго года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс первого года обучения;Программы начального общего образования с нормативным сроком обучения 5–6 лет 4-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 5 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 5 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 5-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 6-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 7-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 8-й класс второго года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс первого года обучения;Программы основного общего образования с нормативным сроком освоения 6 лет 9-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 2 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 2 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 10-й класс второго года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс первого года обучения;Программы среднего общего образования с нормативным сроком освоения 3 года 11-й класс второго года обучения;Из общей численности обучающихся (из гр. 3): лица с ограниче- нными возможно- стями здоровья;Из общей численности обучающихся (из гр. 3): из них: инвалиды;Из общей численности обучающихся (из гр. 3): из них: дети-инвалиды;Из общей численности обучающихся (из гр. 3): инвалиды  (кроме учтенных в гр. 49);Из общей численности обучающихся (из гр. 3): дети-инвалиды  (кроме учтенных в гр. 50);Из общей численности обучающихся (из гр. 3): с умствен-ной отста-лостью
1;Число классов для глухих, ед.;1044;2;1;1;;45;47;36;76;9;4;86;9;11;36;64;69;16;12;14;13;17;43;12;11;41;3;10;55;7;6;54;13;11;44;52;63;15;18;1;1;3;5;2;6;;;;;;
2;В них обучающихся, чел.;5377;13;6;6;;234;229;183;392;45;20;466;54;42;163;329;359;100;69;76;74;87;226;67;56;221;12;49;280;36;32;269;88;56;224;251;315;79;93;3;7;15;21;5;25;3977;243;3634;;;119
3;Число классов для слабослышащих и позднооглохших, ед.;1555;17;18;18;17;92;65;35;115;15;2;102;14;1;49;79;103;18;18;18;20;15;90;17;10;84;12;4;97;7;2;98;21;9;54;69;89;27;24;2;1;;1;4;2;;;;;;
4;В них обучающихся, чел.;9163;124;98;103;118;519;381;201;629;106;10;550;104;5;305;451;590;115;77;91;114;92;517;125;60;541;72;23;582;58;12;583;148;61;331;393;542;137;129;15;3;;6;36;6;6468;261;5576;;;134
5;Число классов для слепых, ед.;297;4;5;3;4;15;12;3;17;;2;23;1;1;13;10;12;6;4;4;6;4;20;1;1;11;;;16;;;19;;;3;15;20;19;23;;;;;;;;;;;;
6;В них обучающихся, чел:       cлепых;1270;9;12;6;16;66;27;14;82;;9;116;1;1;49;49;54;44;21;32;23;33;79;5;3;47;;;70;;;84;;;8;56;82;85;87;;;;;;;872;82;761;;;23
7;слабовидящих и поздноослепших;417;7;2;;5;18;19;9;26;;8;16;10;7;19;15;14;2;;;1;;37;;;31;;;34;;;29;;;;44;30;14;20;;;;;;;321;9;218;;;1
8;Число классов для слабовидящих и поздноослепших, ед.;1655;85;83;80;92;65;31;16;80;6;4;89;6;1;29;57;76;63;56;50;46;51;76;4;;54;1;;77;3;;77;3;1;22;76;80;60;53;1;;;1;;;;;;;;
9;В них обучающихся, чел:       слабовидящих и поздноослепших;13614;942;931;897;982;408;224;114;561;43;33;624;52;9;158;422;557;606;535;485;442;432;549;38;;398;1;;632;22;;612;24;9;167;553;618;316;206;4;;;8;;;9321;117;3162;;;113
10;cлепых;816;14;10;15;13;59;21;12;38;5;;62;4;1;19;47;60;18;8;1;5;4;54;3;;36;1;;57;3;;54;3;1;13;53;50;36;36;;;;;;;574;39;443;;;40
11;Число классов для обучающихся с тяжелыми нарушениями речи, ед.;1850;215;194;193;185;23;86;66;78;5;3;72;4;2;58;6;4;68;55;42;45;43;63;1;;63;;1;68;;;70;4;3;16;51;58;3;2;;;;;;;;;;;;
12;В них обучающихся, чел.;20606;2474;2360;2274;2170;247;824;702;837;55;33;787;53;24;610;63;47;745;583;485;497;458;669;11;;674;;4;726;;;734;40;38;176;536;644;21;5;;;;;;;15308;39;1829;;3;12
13;Число классов для обучающихся с нарушением опорно-двигательного аппарата, ед.;1802;57;69;64;73;19;99;80;94;1;1;96;;;79;8;3;79;71;91;87;94;67;;;68;1;;78;;;75;;;11;50;72;105;104;1;;;2;;3;;;;;;
14;В них обучающихся, чел.;8835;342;423;416;454;101;526;373;477;6;7;454;;;419;23;21;448;386;486;460;480;357;;;312;1;;303;;;314;;;95;208;278;294;338;2;;;16;;15;5831;109;3570;2;5;90
15;Число классов для обучающихся с задержкой психического развития, ед.;9211;283;404;490;561;77;464;482;511;31;18;485;28;13;432;34;25;909;783;1014;987;977;19;4;1;26;1;;25;4;;31;1;;24;17;17;15;18;;;;;;;;;;;;
16;В них обучающихся, чел.;94925;2677;3660;4777;5688;622;4518;4736;5246;264;133;5272;292;113;4959;346;196;9661;8275;11050;10710;10822;109;50;5;99;1;;131;17;;122;16;;251;45;17;27;18;;;;;;;63863;70;6271;15;21;783
17;Число классов для обучающихся с расстройствами аутистического спектра, ед.;603;19;8;10;7;49;112;105;57;6;9;63;7;6;44;9;9;18;6;6;6;6;12;;;5;;;4;;;3;;;;6;1;8;2;;;;;;;;;;;;
18;В них обучающихся, чел.;2875;110;29;33;28;268;642;557;290;35;66;251;40;39;134;82;51;44;31;35;24;34;12;;;5;;;7;;;7;;;;10;1;8;2;;;;;;;1787;14;1397;;;153
19;Число классов для обучающихся со сложными дефектами, ед.;234;6;4;7;6;8;15;8;16;;;19;2;;15;11;13;13;8;9;11;10;10;;;4;;;11;;;8;1;2;4;6;6;1;;;;;;;;;;;;;
20;В них обучающихся, чел.;1206;35;20;27;22;32;109;37;81;;;117;10;;79;54;55;59;37;38;70;55;46;;;19;;;53;;;42;5;8;21;34;33;8;;;;;;;;930;10;722;;;320
