;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
№ строки;Наименование профессии по Перечню профессий рабочих, должностей служащих, по которым осуществляется профессиональное обучение, утвержденному приказом Минобрнауки России от 2 июля 2013 г. № 513;Код  профессии (при наличии);"Всего  обучено за период с 20.09 прошлого года по 19.09 текущего года (сумма граф 5 – 10; сумма граф 18-20)";В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований федерального бюджета;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований бюджета субъекта Российской Федерации;В том числе из числа обучающихся (обучавшихся): за счет бюджетных ассигнований местного бюджета;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств лиц, зачисляе- мых на обуче- ние (родителей (законных пре- дставителей) несовершенно- летних обучающихся);В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств иных физических лиц;В том числе из числа обучающихся (обучавшихся): по договорам об оказании платных образовательных услуг за счет средств юридических лиц;Из общей численности обученных (из графы 4) девушки;Из общей численности обученных (из графы 4) прошли ускоренное обучение по индивидуальным учебным планам;Из общей численности обученных (из графы 4) лица с ограниченными возможностями здоровья;Из общей численности обученных (из графы 4) из них (из графы 13): инвалиды;Из общей численности обученных (из графы 4) из них (из графы 13): дети-инвалиды;Из общей численности обученных (из графы 4) инвалиды  (кроме учтенных в графе 14);Из общей численности обученных (из графы 4) дети-инвалиды (кроме учтенных в графе 15);Из общей численности обученных (из графы 4) обучались (обучаются) очно;Из общей численности обученных (из графы 4) обучались (обучаются) очно-заочно;Из общей численности обученных (из графы 4) обучались (обучаются) заочно
1;Программы профессиональной подготовки по профессиям рабочих, должностям служащих – всего;;66935;1853;58552;4926;1343;231;30;31268;63;1125;163;185;54;476;58094;6667;2174
2;Авиационный механик по приборам и электрооборудованию;10007;3;;3;;;;;;;;;;;;3;;
3;Бармен;11176;367;;367;;;;;188;;4;;;;3;249;116;2
4;Водитель вездехода;11447;11;;11;;;;;2;;1;;;;;11;;
5;Водитель погрузчика;11453;22;;20;2;;;;2;;;;;;1;22;;
6;Вышивальщица;11583;11;;11;;;;;9;;11;4;4;;;11;;
7;Вязальщик;11592;9;;9;;;;;5;;9;8;;;;9;;
8;Вязальщица трикотажных изделий, полотна;11602;1;;1;;;;;1;;1;;;;;1;;
9;Гончар;11693;7;;7;;;;;4;;;;;;;7;;
10;Гример-пастижер;11763;46;;46;;;;;43;;;;;;;43;1;2
11;Декоратор витрин;11811;346;;346;;;;;215;;6;;;;8;307;36;3
12;Демонстратор одежды;11815;4;;4;;;;;3;;;;;;;4;;
13;Животновод;11949;31;7;24;;;;;20;;;;;;;27;4;
14;Замерщик на топографо-геодезических и маркшейдерских работах;12192;116;;116;;;;;42;;4;;;;3;88;28;
15;Земледел;12264;5;5;;;;;;;;;;;;;5;;
16;Изготовитель художественных изделий из бересты;12476;3;3;;;;;;;;;;;;;3;;
17;Изготовитель художественных изделий из дерева;12478;33;1;23;9;;;;7;;7;;;;;29;4;
18;Изготовитель художественных изделий из керамики;12480;14;1;13;;;;;10;;5;;;;8;14;;
19;Изготовитель художественных изделий из металла;12485;2;;2;;;;;;;;;;;;2;;
20;Исполнитель художественно-оформительских работ;12565;1528;30;1450;45;3;;;1020;;12;;;;33;1235;165;128
21;Кабельщик-спайщик;12624;39;;39;;;;;8;;;;;;;39;;
22;Каменщик;12680;101;;84;17;;;;3;;20;5;2;;;101;;
23;Кондитер;12901;812;14;657;136;;;5;637;5;11;;1;1;6;719;83;10
24;Контролер качества;12968;8;;8;;;;;4;;;;;;;8;;
25;Контролер качества продукции и технологического процесса;12974;207;;207;;;;;122;;;;;;;199;8;
26;Контролер станочных и слесарных работ;13063;11;;11;;;;;;;;;;;;11;;
27;Корректор;13134;333;;333;;;;;75;;;;;1;3;218;115;
28;Косметик;13138;429;15;407;3;1;;3;394;4;;;;;2;405;23;1
29;Костюмер;13140;1;;1;;;;;1;;;;;;;1;;
