;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
№ строки;Наименование показателей;Код по ОКИН;Всего (сумма  граф 5–14);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 1-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 2-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 3-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования 4-й класс;Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам основного общего образования (5–9 классы);Численность обучающихся во всех классах кроме классов для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования (10–11(12) классы);Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам начального общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам основного общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам среднего общего образования;Численность обучающихся в классах для обучающихся с ограниченными возможностями здоровья, по программам образование обучающихся  с умственной отсталостью (интеллектуаль- ными нарушениями);из них (из графы 4) обучающихся по очно-заочной и заочной формам обучения*
1;Численность обучающихся по языкам обучения;;17156697;1900292;1820926;1843341;1758168;8103741;1354988;81307;79659;2355;211920;95324
2;в том числе язык обучения: Абазинский;001;;;;;;;;;;;;
3;Аварский;003;1509;237;232;220;193;561;66;;;;;
4;Адыгейский;006;;;;;;;;;;;;
5;Азербайджанский;007;153;4;22;19;40;68;;;;;;
6;Алтайский;012;;;;;;;;;;;;
7;Армянский;019;;;;;;;;;;;;
8;Балкарский;282;;;;;;;;;;;;
9;Башкирский;026;33062;3822;3735;3839;3776;16062;1777;12;28;;11;5
10;Белорусский;028;;;;;;;;;;;;
11;Бурятский;033;1540;161;172;158;175;738;136;;;;;
12;Вепсский;039;;;;;;;;;;;;
13;Грузинский;049;;;;;;;;;;;;
14;Даргинский;055;194;29;29;26;27;73;10;;;;;
15;Долганский;283;;;;;;;;;;;;
16;Еврейский (идиш);061;;;;;;;;;;;;
17;Ительменский;071;;;;;;;;;;;;
18;Ингушский;066;;;;;;;;;;;;
19;Казахский;076;;;;;;;;;;;;
20;Калмыцкий;078;;;;;;;;;;;;
21;Кабардинский;075;;;;;;;;;;;;
22;Карачаевский;085;;;;;;;;;;;;
23;Карельский;086;;;;;;;;;;;;
24;Кетский;089;;;;;;;;;;;;
25;Коми;096;;;;;;;;;;;;
26;Коми-пермяцкий;097;;;;;;;;;;;;
27;Корейский;098;;;;;;;;;;;;
28;Корякский;099;;;;;;;;;;;;
29;Крымско-татарский;102;7796;1008;1000;991;1051;3638;108;;;;;
30;Кумыкский;105;1871;201;214;180;225;935;116;;;;;
31;Лакский;112;210;27;40;23;16;89;15;;;;;
32;Лезгинский;114;446;49;58;54;66;190;29;;;;;
33;Латышский;113;;;;;;;;;;;;
34;Литовский;116;;;;;;;;;;;;
35;Марийский горный;121;151;11;19;13;15;84;9;;;;;
36;Марийский луговой;321;84;11;10;13;14;36;;;;;;
37;Мордовский мокша;126;;;;;;;;;;;;
38;Мордовский эрзя;326;;;;;;;;;;;;
39;Манси;899;;;;;;;;;;;;
40;Нанайский;132;;;;;;;;;;;;
41;Ненецкий;136;;;;;;;;;;;;
42;Ногайский;138;54;;7;6;8;33;;;;;;
43;Немецкий;135;;;;;;;;;;;;
44;Новогреческий;898;;;;;;;;;;;;
45;Нивхский (на двух диалектах);137;;;;;;;;;;;;
46;Осетинский;146;3255;613;501;412;343;1185;201;;;;;
47;Польский;150;;;;;;;;;;;;
48;Русский;155;16968090;1876292;1798508;1821007;1736760;8018928;1342734;81147;79486;2353;210875;95138
49;Рутульский;157;3;;;2;1;;;;;;;
50;Саамский;164;;;;;;;;;;;;
51;Селькупский;168;;;;;;;;;;;;
52;Табасаранский;174;105;5;25;23;20;32;;;;;;
53;Татарский;181;72133;10026;8768;8721;7976;33021;3046;28;48;2;497;69
54;Татский;185;;;;;;;;;;;;
55;Тофаларский;192;;;;;;;;;;;;
56;Тувинский;196;4940;688;580;555;510;2104;254;76;70;;103;3
57;Турецкий;197;;;;;;;;;;;;
58;Туркменский;199;;;;;;;;;;;;
59;Удмуртский;202;113;29;27;28;29;;;;;;;
60;Украинский;206;308;24;19;26;17;218;4;;;;;
61;Хакасский;217;;;;;;;;;;;;
62;Хантыйский (на трех диалектах);219;;;;;;;;;;;;
63;Финский;211;;;;;;;;;;;;
64;Чеченский;238;;;;;;;;;;;;
65;Черкесский;897;;;;;;;;;;;;
66;Чувашский;243;9403;1474;1499;1634;1564;2748;318;;;;166;3
67;Чукотский;244;;;;;;;;;;;;
68;Эвенский;262;223;29;18;23;22;108;23;;;;;
69;Эскимосский;265;;;;;;;;;;;;
70;Эвенкийский;261;226;21;17;22;27;121;18;;;;;
71;Эстонский;267;;;;;;;;;;;;
72;Юкагирский;271;104;10;9;10;5;53;17;;;;;
73;Якутский;275;50624;5499;5408;5316;5282;22683;6097;44;27;;268;106
74;Агульский;005;6;1;;3;2;;;;;;;
75;Греческий;048;;;;;;;;;;;;
76;Китайский;092;;;;;;;;;;;;
77;Негидальский;134;;;;;;;;;;;;
78;Удэгейский;203;;;;;;;;;;;;
79;Ульчский;207;;;;;;;;;;;;
80;Цахурский;227;94;21;9;17;4;33;10;;;;;
81;Шорский;253;;;;;;;;;;;;
82;Энецкий;263;;;;;;;;;;;;
83;Орокский (Уйльта);144;;;;;;;;;;;;
84;Телеутский;186;;;;;;;;;;;;
85;Сойотский;;;;;;;;;;;;;
86;Численность обучающихся, изучающих родной (нерусский) язык как самостоятельный предмет: Абазинский;001;7182;759;763;879;810;3630;328;;;;13;
87;Аварский;003;124057;15873;15137;14694;13700;59077;5401;41;108;26;;53
88;Адыгейский;006;18207;1856;2042;2018;2023;8965;1161;42;100;;;
89;Азербайджанский;007;13753;1363;1596;1494;1611;6852;837;;;;;
90;Алтайский;012;11969;1144;1385;1437;1449;5821;672;;;;61;
91;Армянский;019;1483;71;121;250;238;659;144;;;;;
92;Балкарский;282;16146;1755;1745;1736;1775;7600;1518;1;11;3;2;54
93;Башкирский;026;161584;8678;20058;19793;19202;88893;3598;216;568;9;569;100
94;Белорусский;028;34;2;5;5;4;18;;;;;;
95;Бурятский;033;84148;2322;9579;9625;9673;51172;1618;53;101;;5;80
96;Вепсский;039;1040;27;116;118;97;535;147;;;;;
97;Грузинский;049;55;2;7;4;4;32;6;;;;;
98;Даргинский;055;65224;7739;7348;7538;7452;31492;3628;6;13;8;;
99;Долганский;283;722;;91;91;80;425;35;;;;;
100;Еврейский (идиш);061;273;37;38;27;36;105;30;;;;;
101;Ительменский;071;;;;;;;;;;;;
102;Ингушский;066;76670;8782;8536;8745;8790;36976;4434;152;170;25;60;38
103;Казахский;076;323;28;42;44;62;140;7;;;;;
104;Калмыцкий;078;20613;2137;1960;2084;2020;10354;1982;;1;;75;73
105;Кабардинский;075;76358;8918;8411;8828;8522;35412;6220;15;18;10;4;206
106;Карачаевский;085;25277;3060;2799;2809;2567;12391;1651;;;;;
107;Карельский;086;468;35;32;44;31;290;31;;5;;;
108;Кетский;089;39;6;4;6;2;18;3;;;;;
109;Коми;096;18219;1431;2266;1898;1810;10663;140;2;2;;7;8
110;Коми-пермяцкий;097;1809;265;151;189;148;1028;15;13;;;;
111;Корейский;098;57;;;;;54;3;;;;;
112;Корякский;099;135;12;16;12;11;66;18;;;;;
113;Крымско-татарский;102;16202;1980;1990;2075;2012;7335;810;;;;;127
114;Кумыкский;105;59655;7362;7006;6954;6946;29081;2261;6;38;1;;17
115;Лакский;112;12129;1389;1432;1391;1310;5827;761;3;12;4;;81
116;Лезгинский;114;43336;4782;5093;4939;4936;20713;2859;2;12;;;
117;Латышский;113;;;;;;;;;;;;
118;Литовский;116;;;;;;;;;;;;
119;Марийский горный;121;1852;152;188;222;169;1004;117;;;;;
120;Марийский луговой;321;11503;1004;1235;1193;1182;6427;447;;;;15;
121;Мордовский мокша;126;16495;144;3336;3221;3171;6517;106;;;;;
122;Мордовский эрзя;326;15671;142;2953;3026;2792;6564;146;20;28;;;
123;Манси;899;;;;;;;;;;;;
124;Нанайский;132;822;106;122;96;106;318;29;39;6;;;
125;Ненецкий;136;4676;441;400;471;445;2602;84;84;71;;78;
126;Ногайский;138;5592;662;673;649;694;2596;318;;;;;
127;Немецкий;135;1026;45;70;67;76;688;80;;;;;2
128;Новогреческий;898;75;13;10;;10;37;5;;;;;
129;Нивхский (на двух диалектах);137;6;;1;1;4;;;;;;;
130;Осетинский;146;72206;8048;7669;8077;7623;35535;5239;15;;;;455
131;Польский;150;;;;;;;;;;;;
132;Рутульский;157;1356;138;154;151;136;677;100;;;;;
133;Саамский;164;;;;;;;;;;;;
134;Селькупский;168;156;20;14;9;14;96;;1;2;;;
135;Табасаранский;174;17487;1785;1936;1850;1850;8647;1419;;;;;
136;Татарский;181;269599;30077;31232;32364;30475;126282;16558;412;351;32;1816;995
137;Татский;185;;;;;;;;;;;;
138;Тофаларский;192;43;;15;17;11;;;;;;;
139;Тувинский;196;38686;3927;3861;4015;4267;19442;2742;119;145;;168;276
140;Турецкий;197;108;12;9;7;13;56;11;;;;;2
141;Туркменский;199;;;;;;;;;;;;
142;Удмуртский;202;17666;1720;1807;1813;1832;9728;758;8;;;;1
143;Украинский;206;1612;77;156;135;152;1005;87;;;;;
144;Хакасский;217;7458;838;788;894;845;3506;470;;;;117;
145;Хантыйский (на трех диалектах);219;1135;117;143;149;126;494;21;25;8;;52;1
146;Финский;211;1515;157;170;147;174;728;139;;;;;
147;Чеченский;238;314088;32950;31286;32825;35436;159677;20944;497;242;;231;306
148;Черкесский;897;6433;705;714;665;651;3221;477;;;;;
149;Чувашский;243;61758;6155;6729;7368;7094;32157;1640;193;125;;297;46
150;Чукотский;244;464;67;65;56;64;198;5;;;;9;
151;Эвенский;262;845;91;106;103;84;391;70;;;;;
152;Эскимосский;265;40;5;1;7;4;23;;;;;;
153;Эвенкийский;261;854;71;104;115;101;455;8;;;;;
154;Эстонский;267;;;;;;;;;;;;
155;Юкагирский;271;886;96;102;101;72;391;124;;;;;
156;Якутский;275;34067;2957;3594;3641;3471;17324;2974;;10;;96;104
157;Агульский;005;1874;214;218;183;180;919;160;;;;;
158;Греческий;048;;;;;;;;;;;;
159;Китайский;092;;;;;;;;;;;;
160;Негидальский;134;;;;;;;;;;;;
161;Удэгейский;203;;;;;;;;;;;;
162;Ульчский;207;4;;2;2;;;;;;;;
163;Цахурский;227;289;34;26;29;41;132;27;;;;;
164;Шорский;253;12;;;;;12;;;;;;
165;Энецкий;263;8;;3;5;;;;;;;;
166;Орокский (Уйльта);144;;;;;;;;;;;;
167;Телеутский;186;146;;29;26;30;61;;;;;;
168;Сойотский;;83;2;10;15;15;38;3;;;;;38
169;Численность обучающихся, изучающих родной (нерусский) язык факультативно или в кружках;;79943;;;;;;;;;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
