;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;"Всего обу-чающихся (сумма граф 4,10; сумма граф 16-18)";Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Всего;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) лица с огра- ниченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): дети-инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) инвалиды  (кроме учтенных в гр. 6);Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) дети-инвали- ды (кроме учтенных в гр. 7);Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) лица с огра- ниченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) инвалиды  (кроме учтенных в гр. 12);Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) дети-инвали- ды (кроме учтенных в  гр. 13);В том числе обучающихся (из гр.3) очно;В том числе обучающихся (из гр.3) очно-заочно;В том числе обучающихся (из гр.3) заочно
1;Численность обучающихся – всего;17156697;16781456;391402;3788;88835;2698;110730;375241;370217;8565;144335;167;1744;17061373;69742;25582
2;из них обучаются:       по программам, реализуемым с использованием сетевой формы;578289;568910;12680;41;2124;19;2277;9379;8916;210;2818;1;13;575303;2255;731
3;с применением электронного обучения;3527950;3479107;76929;238;11068;471;25052;48843;46628;848;18410;;6;3510891;11689;5370
4;с применением дистанционных образовательных технологий;2914087;2871338;64566;241;10452;495;23397;42749;40816;978;18513;2;65;2898710;10561;4816
5;по индивидуальным учебным планам;203527;172132;81251;991;28281;137;8455;31395;29675;1347;22138;2;336;199282;2798;1447
6;на дому;139491;99613;61936;1415;40712;345;14601;39878;38537;1749;32327;28;550;135539;3178;774
7;в медицинской организации;3054;2284;138;;55;13;89;770;738;234;360;;;2976;78;
8;из суммы строк 06 и 07:             с применением дистанционных образовательных технологий             (из строки 04);12010;9676;4710;74;3112;67;2299;2334;2173;114;1666;2;52;10967;975;68
9;по индивидуальным учебным планам (из строки 05);58205;41321;26418;512;16720;82;5755;16884;15935;719;13321;2;328;57235;871;99
