;;
;;
;;
;;
;;
1;2;3
№ строки;Наименование показателей;Код: да – 1, нет – 0
1;Организация имеет особенности;15326
2;Организация при осуществлении образовательной деятельности:     является интернатом;1322
3;имеет интернат (заполняют организации, указавшие в строке 02 код «0»);1024
4;является вечерней (сменной);276
5;имеет классы очно-заочного и заочного обучения (заполняет организация,    указавшая в строке 04 код «0»);656
6;является отдельной общеобразовательной организацией для обучающихся с    ограниченными возможностями здоровья;1585
7;в том числе для:           глухих;129
8;слабослышащих и позднооглохших;158
9;слепых;93
10;слабовидящих;131
11;с тяжелыми нарушениями речи;135
12;с нарушениями опорно-двигательного аппарата;134
13;с задержкой психического развития;235
14;с расстройствами аутистического спектра;184
15;со сложными дефектами;234
16;других обучающихся с ограниченными возможностями здоровья;1169
17;имеет отдельные классы для обучающихся с ограниченными возможностями    здоровья (заполняют организации, указавшие в строке 06 код «0»);4419
18;является организацией (учреждением):       специальным учебно-воспитательным учреждением для обучающихся с       девиантным (общественно опасным) поведением;42
19;для детей дошкольного и младшего школьного возраста;860
20;для обучающихся, нуждающихся в длительном лечении;80
21;для обучающихся, нуждающихся в психолого-педагогической медицинской       и социальной помощи;76
22;для детей-сирот и детей, оставшихся без попечения родителей;111
23;центром образования;480
24;создана в уголовно-исполнительной системе;208
25;обеспечивает углубленную подготовку:       организация с углубленным изучением отдельных предметов;1276
26;имеет отдельные классы с углубленным изучением отдельных предметов       (заполняют организации, указавшие в строке 25 код «0»);3887
27;гимназия;1417
28;имеет гимназические классы (заполняют организации, указавшие в строке 27 код «0»);45
29;лицей;1147
30;имеет лицейские классы (заполняют организации, указавшие в строке 29 код «0»);44
31;обеспечивает подготовку к военной или гражданской службе:       президентское кадетское училище;
32;суворовское военное училище;
33;нахимовское военно-морское училище;
34;кадетский (морской кадетский) военный корпус;
35;кадетский (морской кадетский) корпус;23
36;кадетская школа;105
37;казачий кадетский корпус;28
38;военно-музыкальное училище;
39;другая;631
40;Организация не имеет особенностей;28047
