;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 40, 41);2118901;151540;99393;205504;231028;232037;1199399;1447633;143735;90343;168164;155105;138874;751412;671268
2;в том числе:       руководящие работники – всего;137238;1508;1888;7051;12787;16677;97327;114412;2983;3058;8636;11191;12642;75902;22826
3;из них:             директор;37456;184;216;1136;2288;3284;30348;36983;447;537;1888;2717;3294;28100;473
4;заместители директора;90953;1200;1558;5506;9639;12044;61006;73999;2359;2374;6379;8117;9001;45769;16954
5;руководитель филиала;1963;30;31;91;143;197;1471;1796;47;54;134;154;159;1248;167
6;педагогические работники - всего (сумма строк 07, 28,29, 33-39);1323039;112641;66785;131259;138924;132245;741185;1304835;135957;84449;154904;140292;123341;665892;18204
7;в том числе:             учителя–всего (сумма строк 08-18, 22-27);1060902;87463;51867;100740;104656;98891;617285;1049687;97933;62247;114797;104660;94780;575270;11215
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;320146;28025;16821;27063;26326;27163;194748;316880;29236;18929;30137;26727;26576;185275;3266
9;русского языка и литературы;125512;9092;4651;9336;10537;10452;81444;124370;9737;5432;10746;10513;10247;77695;1142
10;языка народов России и литературы;15453;723;519;1069;1430;1756;9956;15396;734;535;1155;1473;1770;9729;57
11;истории, экономики, права, обществознания;65424;6130;3641;7497;6720;6225;35211;64619;6848;4227;8357;6620;6015;32552;805
12;информатики и ИКТ;27196;2593;1578;3676;4300;3679;11370;26839;3133;2019;4200;4197;3479;9811;357
13;физики;30556;2087;1113;2243;2240;2292;20581;30261;2405;1371;2627;2305;2222;19331;295
14;математики;96008;6908;3730;7555;8246;7969;61600;95098;8015;4707;8591;8067;7512;58206;910
15;химии;22708;1517;837;1546;1800;1858;15150;22523;1774;978;1788;1814;1823;14346;185
16;географии;30294;1716;1073;2301;2562;2682;19960;30075;1977;1367;2641;2651;2687;18752;219
17;биологии;31407;2259;1284;2572;2711;2922;19659;31104;2581;1538;2914;2758;2836;18477;303
18;иностранных языков;118068;12487;7406;16515;18887;14864;47909;116621;13656;8884;18209;18226;13313;44333;1447
19;из них:                         английского языка;103506;11568;6713;15169;17340;13485;39231;102147;12552;8024;16659;16721;12055;36136;1359
20;немецкого языка;10749;533;445;928;1109;1052;6682;10697;664;562;1070;1092;955;6354;52
21;французского языка;2784;201;140;262;259;238;1684;2762;218;185;307;264;219;1569;22
22;физической культуры;75567;7440;4917;10708;9495;7516;35491;74590;8633;5925;11916;9485;7055;31576;977
23;трудового обучения (технологии);41093;1784;1314;3013;3490;3910;27582;40666;3197;2310;4523;3778;3817;23041;427
24;музыки и пения;19424;1567;867;1483;1532;1619;12356;19203;1801;1081;1744;1603;1634;11340;221
25;изобразительного искусства, черчения;14946;1190;686;1366;1483;1306;8915;14780;1481;912;1634;1410;1225;8118;166
26;основ безопасности жизнедеятельности;11445;734;500;1055;1083;1011;7062;11280;1148;834;1560;1219;1031;5488;165
27;прочих предметов;15655;1211;930;1742;1814;1667;8291;15382;1577;1198;2055;1814;1538;7200;273
28;учителя-логопеды;18089;1448;875;2066;2486;2508;8706;17864;1956;1248;2599;2581;2283;7197;225
29;учителя-дефектологи;7064;789;537;989;990;941;2818;6977;1074;732;1192;956;745;2278;87
30;из них:                   олигофренопедагог;1909;151;113;284;252;259;850;1889;219;171;332;281;208;678;20
31;тифлопедагог;194;9;6;22;27;19;111;194;12;9;24;28;21;100;
32;сурдопедагог;477;20;20;31;38;47;321;475;23;22;35;42;39;314;2
33;социальные педагоги;18843;1568;1109;2313;2583;2492;8778;18181;2846;1770;2880;2365;1922;6398;662
