;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих предметы (не менее одного);1769242;234220;983978;551044;1759949;6873;2420
2;В том числе по профилям обучения:       гуманитарный – всего;689456;160207;411085;118164;687334;1403;719
3;из них с изучением языков:             английского;489078;126286;292444;70348;487984;488;606
4;французского;34633;7921;23224;3488;34463;87;83
5;немецкого;42338;8952;29230;4156;42234;55;49
6;других европейских;11721;2711;7817;1193;11684;5;32
7;восточных;8481;268;7055;1158;8458;17;6
8;естественнонаучный;162197;4422;88184;69591;161343;508;346
9;социально-экономический;121766;629;25028;96109;120357;1198;211
10;технологический;153937;2435;63594;87908;153631;211;95
11;технический;35478;1324;20924;13230;35407;34;37
12;сельскохозяйственный;3466;;2669;797;3466;;
13;математический;259630;25025;211326;23279;259043;487;100
14;другие;299390;25049;117268;157073;295015;3398;977
