;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф 4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы);Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся, имеющие иностранное гражданство;из них (из графы 3) из них  (из гр. 14) имеют 2 и более гражданства;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;17396717;7369380;3603272;1806614;8704727;4255957;1834424;1322610;688726;707178;77973;175490;11239;2578
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;78;78;48;77;;;;;;;;;;
3;6 лет;137613;137603;73923;132322;10;;;;;;49;1574;61;25
4;7 лет;1628469;1628459;806157;1465809;10;1;3;;;;834;17296;1036;271
5;8 лет;1847082;1846978;906031;195468;104;14;11;;;;1363;21108;1244;287
6;9 лет;1863230;1861177;909445;10350;2053;879;1548;;;;1498;21340;1332;284
7;10 лет;1847189;1666671;811423;1860;180517;93236;166176;1;;;1534;20162;1205;285
8;11 лет;1851580;205657;88091;358;1645918;817707;1429776;5;1;2;1494;19080;1206;275
9;12 лет;1753456;16623;5966;144;1736817;853302;208986;16;3;5;1547;18298;1226;251
10;13 лет;1743162;3443;1157;80;1739689;852659;19694;30;18;22;1830;17365;1196;259
11;14 лет;1710390;1068;420;42;1708091;837196;5599;1231;651;1002;2440;15476;1055;237
12;15 лет;1561651;464;158;29;1466912;711357;1535;94275;51521;87994;5031;12468;917;219
13;16 лет;816173;290;100;11;187229;78137;239;628654;334142;540744;8375;6347;486;99
14;17 лет;539804;222;90;10;21829;7463;125;517753;273412;58939;9273;3165;238;56
15;18 лет;48866;71;33;;4730;1587;75;44065;21370;2972;5369;550;33;11
16;19 лет;5223;35;16;1;1399;484;37;3789;1518;1132;2995;89;2;3
17;20 лет;3557;37;15;4;891;268;56;2629;785;1067;2534;39;1;
18;21 год;3220;31;14;3;681;186;38;2508;617;1140;2474;54;;2
19;22 года;2849;18;7;1;593;139;36;2238;485;975;2297;73;;1
20;23 года;2650;19;7;3;560;101;36;2071;418;910;2142;100;;
21;24 года;2770;27;4;3;601;100;44;2142;335;990;2277;115;;
22;25 лет;2961;19;7;1;592;120;37;2350;349;1097;2414;80;;1
23;26 лет;2620;29;11;5;554;84;35;2037;293;898;2191;86;1;
24;27 лет;2583;20;6;3;547;67;44;2016;286;897;2144;94;;1
25;28 лет;2571;30;12;2;521;82;36;2020;258;916;2159;96;;3
26;29 лет;2641;22;7;2;560;91;29;2059;283;895;2215;89;;
27;30–34 года;6196;105;40;15;1333;227;71;4758;870;1953;5048;181;;3
28;35–39 лет;4086;65;27;7;968;209;79;3053;578;1320;3262;96;;4
29;40 лет и старше;4047;119;57;4;1018;261;79;2910;533;1308;3184;69;;1
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
